id_gatto,eta_mesi,razza,sesso,peso_nascita_kg,lunghezza_cm,altezza_spalla_cm,attivita_giornaliera,quantita_cibo_giorno_g,tipo_cibo,pelo_lungo,sterilizzato,temperatura_media_zona,vive_interno,peso_adulto_kg
67,58,Siamese,Maschio,0.1,59.0,34.5,4.4,74.2,Secco,0,0,4.5,1,6.39
68,7,Siamese,Femmina,0.12,45.7,25.0,2.3,70.4,Umido,0,1,22.9,1,4.74
69,89,Maine Coon,Femmina,0.14,42.7,31.2,5.3,64.7,Misto,1,0,13.1,1,6.22
70,97,Persiano,Femmina,0.14,59.1,31.6,,112.8,Secco,1,1,18.0,1,8.27
71,116,Persiano,Femmina,0.12,68.0,34.4,7.8,83.9,Secco,1,1,13.7,0,8.41
72,65,Europeo,Maschio,0.1,45.0,30.5,3.9,84.9,Misto,0,1,13.8,0,5.96
73,76,Europeo,Femmina,0.12,51.1,24.3,2.7,79.1,Secco,0,1,5.8,1,5.83
74,49,Bengala,Maschio,0.11,46.3,26.1,4.9,78.8,Misto,0,1,11.7,1,5.23
75,13,Maine Coon,Maschio,0.12,40.9,25.6,4.9,98.1,Umido,1,1,22.6,1,4.31
76,52,Europeo,Maschio,0.09,44.1,33.8,7.1,88.0,Secco,0,0,11.9,0,5.66
77,40,Europeo,Maschio,0.14,44.5,29.4,6.7,105.5,Misto,0,1,11.7,0,5.11
78,83,Maine Coon,Maschio,0.12,49.2,,2.0,115.4,Misto,1,1,17.5,1,6.7
79,86,Bengala,Maschio,0.16,51.1,24.7,3.6,65.2,Umido,0,0,6.4,0,6.58
80,41,Europeo,Femmina,0.15,46.1,30.3,2.6,91.7,Secco,0,0,16.2,1,4.79
81,55,Bengala,Maschio,0.13,55.8,25.4,5.1,96.1,Misto,0,1,19.3,1,5.7
82,109,Siamese,Maschio,0.12,60.6,34.2,6.1,68.7,Secco,0,0,19.9,1,6.95
83,9,Bengala,Maschio,0.11,35.2,25.2,2.0,96.9,Misto,0,1,12.8,1,4.68
84,7,Persiano,Femmina,0.14,41.5,32.7,3.9,82.6,Secco,1,0,24.0,1,3.89
85,11,Persiano,Femmina,0.12,54.9,21.9,3.1,117.8,Secco,1,0,23.1,1,4.45
86,59,Bengala,Maschio,0.14,53.0,35.1,5.3,110.6,Misto,0,1,9.4,0,5.82
87,111,Persiano,Femmina,0.13,58.4,35.5,4.6,89.2,Misto,1,0,21.6,1,7.21
88,9,Siamese,Maschio,0.13,47.6,23.2,5.8,87.3,Secco,0,0,18.8,1,3.88
89,59,Maine Coon,Femmina,0.13,49.1,23.6,3.4,121.5,Secco,1,1,20.5,1,5.61
90,98,Persiano,Maschio,0.1,54.5,39.5,3.8,76.0,Umido,1,1,14.9,0,7.35
91,68,Persiano,Femmina,0.1,49.0,23.9,4.6,94.5,Misto,1,1,11.5,1,5.66
92,23,Bengala,Femmina,0.1,53.3,27.7,3.6,85.9,Secco,0,1,17.3,1,4.73
93,95,Siamese,Femmina,0.14,51.7,31.5,4.4,112.7,Secco,0,0,19.9,1,6.89
94,49,Maine Coon,Maschio,0.1,49.1,27.5,5.9,117.2,Misto,1,1,20.0,1,5.75
95,39,Bengala,Maschio,0.1,54.0,30.9,7.2,105.2,Secco,0,1,19.7,1,5.59
96,79,Bengala,Maschio,0.13,50.6,24.3,3.3,76.0,Secco,0,0,12.6,1,6.39
97,67,Siamese,Femmina,0.11,51.2,38.0,7.2,91.3,Umido,0,0,24.9,1,5.74
98,105,Maine Coon,Femmina,0.11,53.0,26.1,3.2,61.8,Umido,1,0,24.0,0,7.15
99,19,Siamese,Maschio,0.11,46.3,25.2,5.3,95.6,Misto,0,1,19.2,0,4.65
100,100,Maine Coon,Femmina,0.07,52.7,22.8,3.3,70.5,Misto,1,1,13.2,0,7.34
101,53,Siamese,Maschio,0.1,46.5,32.9,2.5,129.8,Misto,0,1,19.3,0,5.8
102,20,Bengala,Maschio,0.14,42.0,35.4,5.8,80.6,Umido,0,1,15.9,0,4.21
103,77,Bengala,Maschio,0.11,51.5,38.9,3.9,108.3,Umido,0,1,16.2,0,6.64
104,83,Europeo,Maschio,0.08,60.4,34.8,5.9,122.4,Umido,0,0,21.4,1,6.66
105,92,Persiano,Femmina,0.1,58.6,27.7,5.1,106.8,Secco,1,1,15.9,0,7.5
106,67,Siamese,Femmina,0.13,40.6,28.4,4.6,79.1,Umido,0,1,25.1,0,6.26
107,45,Europeo,Femmina,0.13,46.5,25.6,4.8,78.0,Umido,0,1,21.2,0,4.98
108,90,Persiano,Maschio,0.11,49.5,23.4,5.6,150.1,Misto,1,0,23.0,0,7.3
109,85,Siamese,Femmina,0.11,42.6,27.8,5.4,130.3,Umido,0,1,13.5,1,6.42
110,114,Maine Coon,Maschio,0.09,58.3,35.2,3.4,92.9,Umido,1,1,14.9,1,7.49
111,87,Persiano,Maschio,0.13,53.0,25.0,4.6,82.4,Secco,1,1,11.8,1,6.74
112,116,Bengala,Maschio,0.14,70.8,19.4,6.3,75.2,Umido,0,1,24.6,1,7.58
113,58,Europeo,Maschio,0.15,48.5,21.6,4.1,75.8,Misto,0,0,32.4,0,5.46
114,29,Persiano,Maschio,0.1,42.5,30.5,3.3,100.8,Secco,1,1,20.6,0,5.06
115,31,Persiano,Maschio,0.15,42.0,18.0,3.1,132.5,Umido,1,1,19.3,0,4.77
116,94,Bengala,Femmina,0.12,51.2,27.3,5.3,88.2,Umido,0,0,15.6,1,6.61
117,65,Siamese,Femmina,0.12,55.6,26.3,3.6,111.2,Umido,0,1,26.1,1,6.48
118,114,Maine Coon,Femmina,0.14,61.3,32.0,4.5,107.0,Secco,1,1,17.8,0,7.89
119,46,Bengala,Femmina,0.11,70.1,28.5,3.6,81.4,Secco,0,1,14.8,1,6.11
120,34,Maine Coon,Maschio,0.08,40.0,28.7,5.8,111.6,Umido,1,1,10.6,1,5.15
121,20,Siamese,Maschio,0.13,47.6,25.3,4.2,109.0,Misto,0,0,12.8,1,4.21
122,50,Persiano,Femmina,0.13,45.2,22.8,6.1,110.5,Umido,1,1,18.4,0,5.44
123,70,Maine Coon,Femmina,0.11,54.5,33.0,6.1,83.9,Secco,1,1,8.8,0,6.74
124,94,Europeo,Femmina,0.13,64.1,20.9,3.9,102.1,Secco,0,1,11.9,1,7.04
125,76,Europeo,Femmina,0.14,58.6,32.7,6.0,115.8,Secco,0,0,26.3,1,5.98
126,14,Bengala,Femmina,0.09,37.9,31.4,3.5,106.1,Misto,0,0,22.1,0,4.39
127,93,Siamese,Femmina,0.12,59.1,41.3,4.4,110.4,Umido,0,0,16.4,1,7.17
128,6,Bengala,Femmina,0.07,30.8,21.5,2.8,81.5,Umido,0,1,22.7,0,3.56
129,113,Bengala,Femmina,0.12,39.6,27.8,4.9,111.3,Secco,0,0,14.2,1,7.15
130,13,Bengala,Maschio,0.11,44.6,25.9,4.5,114.8,Umido,0,1,21.9,0,4.3
131,93,Europeo,Maschio,0.13,58.6,29.5,4.8,80.5,Misto,0,1,16.2,1,6.75
132,68,Europeo,Maschio,0.1,54.2,32.6,2.0,56.3,Misto,0,0,27.8,0,5.6
133,16,Bengala,Maschio,0.11,59.9,28.4,1.0,114.7,Umido,0,0,12.3,1,3.95
134,86,Europeo,Femmina,0.06,54.4,27.5,2.3,75.3,Umido,0,0,25.7,0,6.03
135,13,Siamese,Maschio,0.13,45.6,25.2,4.7,74.5,Umido,0,0,17.4,1,4.36
136,40,Bengala,Femmina,0.12,57.1,31.7,5.0,94.2,Umido,0,0,8.6,1,5.01
137,40,Europeo,Maschio,0.12,46.4,20.7,5.7,86.0,Umido,0,1,19.5,0,5.71
138,38,Maine Coon,Femmina,0.09,51.5,25.7,3.4,48.3,Umido,1,1,21.5,1,4.71
139,10,Bengala,Femmina,0.13,49.1,28.3,4.3,106.4,Secco,0,1,25.5,0,4.59
140,111,Bengala,Maschio,0.15,49.3,25.2,2.9,103.1,Secco,0,1,21.8,0,7.56
141,108,Siamese,Maschio,0.12,58.5,12.7,6.1,71.6,Secco,0,0,13.3,1,6.83
142,46,Persiano,Femmina,0.13,64.9,34.5,2.9,85.3,Misto,1,0,23.2,1,5.89
143,33,Persiano,Femmina,0.1,56.3,26.5,5.8,71.3,Misto,1,1,18.3,0,4.78
144,12,Siamese,Femmina,0.12,,19.3,3.6,70.0,Misto,0,0,10.1,0,4.29
145,78,Siamese,Maschio,0.09,69.2,33.5,6.4,80.8,Misto,0,1,17.6,1,6.48
146,77,Siamese,Maschio,0.14,57.5,27.8,4.3,99.2,Secco,0,0,12.1,1,6.4
147,17,Persiano,Femmina,0.12,49.7,20.7,4.2,128.6,Umido,1,0,17.3,1,4.47
148,39,Siamese,Maschio,0.1,48.2,28.8,2.9,77.5,Umido,0,1,21.6,0,5.66
149,38,Europeo,Femmina,0.1,53.6,27.2,7.3,111.4,Umido,0,1,12.4,1,5.02
150,53,Bengala,Maschio,0.12,51.1,24.6,5.5,107.0,Misto,0,1,19.5,1,5.22
151,28,Bengala,Maschio,0.14,47.9,22.6,4.8,47.0,Secco,0,0,23.4,0,4.68
152,67,Maine Coon,Maschio,0.15,50.8,23.2,4.4,61.1,Umido,1,1,14.9,0,6.09
153,93,Maine Coon,Maschio,0.12,61.1,33.3,3.0,126.9,Misto,1,1,16.6,1,7.4
154,42,Bengala,Maschio,0.09,55.2,20.9,5.0,79.9,Misto,0,1,23.3,1,5.55
155,104,Europeo,Femmina,0.12,54.4,26.2,3.9,96.9,Misto,0,1,23.6,0,7.37
156,49,Persiano,Femmina,0.16,39.3,28.0,4.1,94.9,Umido,1,0,12.2,0,5.35
157,109,Persiano,Maschio,0.09,56.2,37.7,5.3,48.0,Secco,1,0,12.8,0,7.27
158,91,Europeo,Femmina,0.1,49.1,30.2,4.4,75.2,Umido,0,1,22.0,1,7.29
159,96,Persiano,Femmina,0.13,51.3,32.7,4.0,102.5,Secco,1,1,16.8,1,7.26
160,40,Siamese,Maschio,0.12,48.1,27.5,6.2,73.6,Secco,0,1,17.2,1,5.35
161,70,Bengala,Femmina,0.11,44.6,33.0,2.8,78.0,Umido,0,1,9.2,0,5.95
162,104,Bengala,Maschio,0.12,44.1,39.9,1.5,58.9,Umido,0,1,15.7,0,7.47
163,106,Europeo,Femmina,0.14,57.6,28.1,2.8,68.8,Misto,0,1,17.2,1,7.07
164,52,Persiano,Femmina,0.12,50.4,27.7,4.2,77.9,Misto,1,1,21.6,1,5.11
165,83,Maine Coon,Femmina,0.12,53.2,30.0,5.0,52.8,Umido,1,1,16.1,1,6.56
166,8,Maine Coon,Femmina,0.13,49.4,28.0,2.9,109.2,Umido,1,1,21.6,1,4.5
167,6,Persiano,Femmina,0.11,41.0,26.0,9.5,71.2,Secco,1,1,17.1,0,4.3
168,10,Maine Coon,Femmina,0.14,48.3,22.8,4.3,85.2,Secco,1,1,24.3,0,4.34
169,95,Europeo,Femmina,0.16,63.9,29.7,4.2,73.5,Misto,0,0,17.9,0,7.2
170,19,Europeo,Maschio,0.1,45.1,38.1,2.1,105.7,Secco,0,1,15.4,0,4.96
171,108,Persiano,Maschio,0.09,69.1,32.0,1.8,59.0,Umido,1,0,14.3,0,7.25
172,32,Maine Coon,Maschio,0.13,48.5,17.0,1.3,67.0,Secco,1,0,12.8,1,4.92
173,14,Europeo,Maschio,0.09,40.4,23.7,6.1,65.5,Secco,0,1,19.6,1,4.26
174,84,Europeo,Femmina,0.09,59.3,29.3,5.8,43.4,Secco,0,1,27.8,0,6.56
175,20,Siamese,Femmina,0.08,46.2,25.3,4.0,98.2,Umido,0,1,21.9,1,4.43
176,95,Siamese,Femmina,0.11,61.9,29.4,2.2,85.0,Misto,0,1,20.1,0,7.68
177,47,Europeo,Maschio,0.12,52.6,28.8,3.6,91.6,Secco,0,1,11.8,1,5.19
178,82,Persiano,Maschio,0.11,50.9,31.6,6.1,108.4,Umido,1,1,12.1,0,6.73
179,56,Bengala,Maschio,0.15,61.2,29.1,3.2,88.6,Secco,0,0,22.8,1,5.54
180,68,Bengala,Femmina,0.15,48.3,33.2,2.6,76.3,Secco,0,1,20.3,1,6.02
181,101,Europeo,Maschio,0.16,39.9,22.6,3.4,92.0,Umido,0,1,14.8,0,7.19
182,108,Europeo,Femmina,0.12,62.0,29.1,3.6,77.1,Secco,0,0,9.4,0,7.37
183,118,Europeo,Maschio,0.14,59.2,33.1,5.1,112.4,Umido,0,0,17.0,1,7.83
184,57,Persiano,Femmina,0.13,59.7,29.1,0.7,74.2,Misto,1,1,13.5,1,5.85
185,101,Siamese,Maschio,0.12,48.9,26.8,4.3,86.2,Secco,0,1,15.4,0,7.46
186,9,Europeo,Femmina,0.11,44.2,22.8,3.0,98.7,Umido,0,1,11.6,0,4.07
187,99,Europeo,Maschio,0.07,52.4,25.7,3.2,133.1,Secco,0,1,22.0,1,6.93
188,106,Maine Coon,Maschio,0.13,62.1,35.2,5.1,69.8,Secco,1,0,14.9,1,6.88
189,28,Persiano,Femmina,0.14,52.4,17.1,2.0,59.6,Secco,1,1,20.6,1,4.56
190,108,Europeo,Femmina,0.09,57.3,24.0,4.3,83.7,Umido,0,1,19.9,1,7.27
191,114,Maine Coon,Maschio,0.12,57.9,32.8,4.7,74.4,Umido,1,1,15.1,1,7.45
192,20,Bengala,Femmina,0.14,38.9,28.7,4.9,103.8,Umido,0,1,17.1,0,4.56
193,48,Europeo,Maschio,0.11,55.2,19.5,5.1,94.1,Misto,0,1,26.8,1,5.74
194,34,Europeo,Femmina,0.14,53.9,29.8,4.9,67.4,Secco,0,0,12.9,1,4.61
195,41,Maine Coon,Maschio,0.12,65.1,28.0,5.1,105.2,Umido,1,1,13.8,1,5.49
196,18,Persiano,Femmina,0.11,50.1,28.5,2.7,122.4,Secco,1,1,7.5,1,4.95
197,37,Europeo,Maschio,0.15,53.1,27.2,6.0,76.0,Secco,0,1,17.3,1,4.6
198,76,Bengala,Maschio,0.1,55.9,30.9,2.2,90.9,Secco,0,0,7.5,1,5.85
199,64,Europeo,Maschio,0.11,46.5,30.5,4.6,45.3,Umido,0,0,15.6,1,5.75
200,91,Bengala,Femmina,0.1,62.8,31.9,3.0,78.6,Misto,0,0,9.0,1,6.13
201,33,Siamese,Maschio,0.1,47.9,27.9,1.4,89.0,Misto,0,0,21.6,1,4.34
202,71,Siamese,Femmina,0.12,50.7,28.1,3.1,83.4,Misto,0,0,17.2,0,5.54
203,47,Bengala,Femmina,0.11,48.8,27.0,3.8,89.9,Misto,0,1,1.3,0,5.4
204,50,Persiano,Femmina,0.13,49.5,28.7,6.1,76.6,Umido,1,1,13.2,0,5.29
205,67,Europeo,Maschio,0.09,48.3,32.5,6.7,118.6,Misto,0,1,15.6,1,5.96
206,62,Europeo,Femmina,0.1,52.7,37.9,3.8,79.4,Misto,0,1,20.6,1,6.35
207,11,Siamese,Femmina,0.12,45.4,28.2,1.9,59.2,Umido,0,0,22.3,0,4.0
208,33,Bengala,Femmina,0.15,47.0,28.5,2.0,83.2,Umido,0,1,20.0,0,5.14
209,33,Europeo,Maschio,0.13,51.7,32.7,5.2,108.9,Secco,0,1,19.5,0,5.41
210,113,Europeo,Femmina,0.11,56.8,32.6,5.1,101.3,,0,1,20.1,1,7.93
211,49,Persiano,Femmina,0.09,46.0,22.1,3.1,75.8,Misto,1,1,21.2,1,5.24
212,89,Maine Coon,Femmina,0.11,48.6,25.8,2.2,119.9,Secco,1,1,18.1,1,6.87
213,35,Siamese,Femmina,0.12,49.2,35.9,5.5,89.5,Umido,0,1,16.9,1,5.12
214,67,Siamese,Maschio,0.07,46.5,24.8,2.2,50.2,Secco,0,1,18.9,1,5.43
215,80,Maine Coon,Maschio,0.1,47.3,31.9,3.3,98.5,Secco,1,0,23.8,1,6.35
216,97,Europeo,Femmina,0.11,49.1,24.9,4.7,86.7,Umido,0,1,6.2,0,7.05
217,94,Persiano,Femmina,0.11,56.2,36.1,1.0,80.5,Misto,1,1,6.5,0,7.44
218,108,Persiano,Femmina,0.12,64.2,28.1,5.4,108.6,Secco,1,0,20.8,1,7.14
219,67,Siamese,Femmina,0.11,54.1,28.8,7.6,90.0,Secco,0,1,13.5,1,6.41
220,102,Persiano,Maschio,0.13,61.4,29.0,4.2,82.6,Misto,1,0,18.3,1,6.97
221,6,Maine Coon,Maschio,0.12,45.1,27.8,3.9,62.7,Secco,1,0,17.8,0,4.39
222,32,Europeo,Maschio,0.11,49.2,27.5,4.1,77.6,Misto,0,0,28.8,0,4.8
223,67,Maine Coon,Maschio,0.13,63.3,32.9,4.3,93.5,Umido,1,0,21.4,0,6.35
224,82,Bengala,Femmina,0.13,59.0,32.4,2.9,74.0,Umido,0,1,23.0,0,6.56
225,110,Siamese,Femmina,0.09,62.6,31.9,2.3,,Misto,0,1,16.4,1,7.77
226,8,Persiano,Maschio,0.12,44.0,28.7,3.5,100.0,Umido,1,1,14.0,1,4.1
227,108,Bengala,Maschio,0.14,55.8,33.9,4.2,102.2,Umido,0,1,13.8,0,7.9
228,75,Persiano,Femmina,0.14,55.3,26.8,2.5,99.0,Umido,1,1,24.1,0,6.24
229,77,Europeo,Femmina,0.13,48.5,26.5,2.0,65.5,Umido,0,1,20.6,1,5.98
230,32,Europeo,Femmina,0.12,31.7,34.4,3.3,86.2,Umido,0,0,18.4,1,5.19
231,14,Europeo,Femmina,0.13,49.2,29.2,2.0,88.8,Umido,0,1,26.6,1,4.65
232,67,Persiano,Femmina,0.14,58.4,30.4,5.0,101.9,Secco,1,1,17.3,0,6.51
233,42,Bengala,Maschio,0.12,49.6,23.1,0.5,93.3,Secco,0,1,,0,5.39
234,102,Europeo,Maschio,0.12,51.0,21.2,2.2,56.1,Secco,0,0,16.3,1,6.96
235,56,Bengala,Femmina,0.12,48.3,26.3,6.1,126.6,Umido,0,0,23.4,0,5.86
236,111,Persiano,Femmina,0.09,41.9,28.3,3.7,63.2,Secco,1,1,11.1,0,7.34
237,49,Bengala,Maschio,0.12,47.6,25.9,4.3,56.0,Misto,0,0,17.8,1,5.21
238,29,Persiano,Femmina,0.11,40.1,30.7,3.8,28.9,Misto,1,1,26.0,1,4.57
239,84,Persiano,Maschio,0.11,48.5,36.8,3.1,100.2,Misto,1,1,20.0,0,6.79
240,64,Siamese,Maschio,0.15,43.2,33.7,5.6,120.2,Secco,0,1,17.0,1,5.92
241,37,Persiano,Maschio,0.14,39.7,23.8,3.1,73.6,Umido,1,1,27.6,0,4.79
242,101,Persiano,Maschio,0.09,48.1,32.7,2.8,50.2,Misto,1,0,19.7,1,6.94
243,93,Maine Coon,Femmina,0.1,58.7,27.2,5.0,107.5,Secco,1,1,9.9,1,7.02
244,110,Europeo,Femmina,0.11,52.4,21.3,1.1,56.2,Secco,0,1,17.1,1,6.59
245,57,Siamese,Maschio,0.11,42.9,27.5,3.6,99.6,Umido,0,0,24.1,1,5.39
246,118,Siamese,Femmina,0.13,62.1,37.2,3.2,67.9,Umido,0,0,18.8,0,7.71
247,67,Siamese,Femmina,0.1,52.6,26.7,3.5,78.2,Secco,0,1,25.8,0,5.87
248,118,Maine Coon,Femmina,0.14,40.3,35.1,3.3,93.0,Umido,1,1,12.6,0,7.89
249,63,Persiano,Femmina,0.12,58.3,24.8,4.6,95.7,Umido,1,1,17.6,1,5.41
250,57,Europeo,Maschio,0.11,51.2,31.3,5.6,93.3,Umido,0,1,19.8,0,6.38
251,17,Bengala,Femmina,0.12,52.1,24.6,4.7,118.8,Umido,0,0,11.8,0,4.64
252,44,Persiano,Maschio,0.11,47.8,34.8,3.5,121.3,Umido,1,1,18.0,0,5.2
253,7,Maine Coon,Maschio,0.08,56.9,23.8,4.9,125.6,Secco,1,0,20.1,0,3.38
254,8,Persiano,Femmina,0.12,43.1,22.7,5.1,86.7,Misto,1,1,11.7,1,4.28
255,118,Persiano,Maschio,0.11,38.3,38.3,4.5,91.1,Secco,1,1,10.6,1,7.43
256,106,Maine Coon,Femmina,0.1,49.4,27.4,5.6,118.8,Secco,1,0,23.9,0,7.42
257,118,Siamese,Femmina,0.14,60.3,32.0,0.5,68.0,Secco,0,1,18.6,0,7.99
258,61,Siamese,Maschio,0.13,52.2,25.2,4.0,79.4,Secco,0,1,6.3,0,5.66
259,86,Europeo,Femmina,0.17,52.7,33.9,4.5,89.4,Secco,0,0,14.6,1,6.77
260,64,Europeo,Maschio,0.14,44.5,34.7,1.8,83.2,Umido,0,1,18.4,1,6.24
261,118,Siamese,Maschio,0.11,56.9,27.5,4.3,82.9,Misto,0,1,6.6,0,7.83
262,7,Bengala,Femmina,0.1,45.6,28.1,5.4,72.1,Umido,0,1,13.4,1,4.5
263,7,Persiano,Femmina,0.11,45.5,28.5,3.7,104.5,Misto,1,1,16.4,1,4.09
